reE,real_denoT,imag_denoT
-19.9,7.025933011738588,0.0
-19.899,6.99778266735781,0.0
-19.898,6.969693114822872,0.0
-19.897,6.941664264220152,0.0
-19.896,6.913696025736754,0.0
-19.895,6.885788309660129,0.0
-19.894,6.85794102637857,0.0
-19.893,6.830154086380828,0.0
-19.892,6.80242740025573,0.0
-19.891,6.774760878692668,0.0
-19.89,6.7471544324812305,0.0
-19.889,6.719607972510805,0.0
-19.888,6.692121409771178,0.0
-19.887,6.664694655351666,0.0
-19.886,6.637327620441706,0.0
-19.885,6.610020216330464,0.0
-19.884,6.582772354406477,0.0
-19.883,6.555583946158122,0.0
-19.882,6.528454903173248,0.0
-19.881,6.501385137138794,0.0
-19.88,6.47437455984128,0.0
-19.879,6.447423083166422,0.0
-19.878,6.420530619098765,0.0
-19.877,6.393697079722163,0.0
-19.876,6.366922377219398,0.0
-19.875,6.340206423871814,0.0
-19.874,6.3135491320598005,0.0
-19.873,6.2869504142624,0.0
-19.872,6.26041018305696,0.0
-19.871,6.233928351119594,0.0
-19.87,6.207504831224814,0.0
-19.869,6.181139536245166,0.0
-19.868,6.154832379151696,0.0
-19.867,6.12858327301358,0.0
-19.866,6.1023921309977665,0.0
-19.865,6.076258866369432,0.0
-19.864,6.050183392491631,0.0
-19.863,6.024165622824911,0.0
-19.862,5.998205470927792,0.0
-19.861,5.972302850456393,0.0
-19.86,5.946457675164085,0.0
-19.859,5.92066985890202,0.0
-19.858,5.894939315618326,0.0
-19.857,5.869265959358662,0.0
-19.856,5.843649704265845,0.0
-19.855,5.8180904645794955,0.0
-19.854,5.792588154636499,0.0
-19.853,5.767142688870634,0.0
-19.852,5.741753981812227,0.0
-19.851,5.716421948088597,0.0
-19.85,5.691146502423701,0.0
-19.849,5.665927559637781,0.0
-19.848,5.640765034647803,0.0
-19.847,5.6156588424671146,0.0
-19.846,5.590608898205086,0.0
-19.845,5.565615117067549,0.0
-19.844,5.540677414356457,0.0
-19.843,5.515795705469521,0.0
-19.842,5.490969905900657,0.0
-19.841,5.466199931239638,0.0
-19.84,5.441485697171738,0.0
-19.839,5.416827119478176,0.0
-19.838,5.392224114035762,0.0
