pole_to_BS,pole_to_R,BS_in_k,R_in_k
-3.619,0.6600019438051746-0.9426310226614603j,1921.3402549701962j,960.9724421211708-500.26598108910923j
-8.374,8.168973329111203-3.189567019375409j,2922.5226685139646j,2939.159769750463-553.4504100876302j
-12.471,16.861931527399392-4.945277924348896j,3566.537043604794j,4190.630304324901-601.8406679336604j
-15.734,26.73766221912654-6.667492902000028j,4006.0708677464067j,5262.1286768847895-646.206428770397j
-18.095,37.79519669165238-8.416703794717112j,4296.201125746307j,6246.861066627659-687.1481356032501j
-19.523,50.03374896444504-10.20965250974175j,4462.413508256797j,7180.547066938412-725.142907835347j
,63.452671247235436-12.051182193626758j,,8080.853940150417-760.575919855723j
