real_of_E,imag_of_E,magnitude_of_T
1.4239393939393938,-13.787878787878787,0.040249081953056196
1.4239393939393938,-13.636363636363637,0.0421062807212039
1.4239393939393938,-13.484848484848484,0.044051309666640996
1.4239393939393938,-13.333333333333334,0.046088332560189786
1.4239393939393938,-13.181818181818182,0.04822170317674586
1.4239393939393938,-13.030303030303031,0.0504559728529434
1.4239393939393938,-12.878787878787879,0.05279589821096777
1.4239393939393938,-12.727272727272727,0.05524644903541055
1.4239393939393938,-12.575757575757576,0.057812816287577354
1.4239393939393938,-12.424242424242424,0.06050042023896338
1.4239393939393938,-12.272727272727273,0.06331491870272067
1.4239393939393938,-12.121212121212121,0.0662622153388453
1.4239393939393938,-11.969696969696969,0.06934846800555425
1.4239393939393938,-11.818181818181818,0.07258009712590065
1.4239393939393938,-11.666666666666666,0.07596379403517506
1.4239393939393938,-11.515151515151516,0.07950652927106175
1.4239393939393938,-11.363636363636363,0.0832155607649988
1.4239393939393938,-11.212121212121213,0.08709844188978526
1.4239393939393938,-11.06060606060606,0.09116302931533384
1.4239393939393938,-10.909090909090908,0.09541749062175787
1.4239393939393938,-10.757575757575758,0.09987031161689258
1.4239393939393938,-10.606060606060606,0.10453030330414986
1.4239393939393938,-10.454545454545455,0.1094066084466078
1.4239393939393938,-10.303030303030303,0.11450870767481662
1.4239393939393938,-10.151515151515152,0.11984642508942801
1.4239393939393938,-10.0,0.12542993331598867
1.4239393939393938,-9.848484848484848,0.13126975797872414
1.4239393939393938,-9.696969696969697,0.13737678157370692
1.4239393939393938,-9.545454545454545,0.1437622467403434
1.4239393939393938,-9.393939393939394,0.15043775895476325
1.4239393939393938,-9.242424242424242,0.15741528870071847
1.4239393939393938,-9.090909090909092,0.16470717321451098
1.4239393939393938,-8.93939393939394,0.17232611795200103
1.4239393939393938,-8.787878787878787,0.180285197989905
1.4239393939393938,-8.636363636363637,0.18859785965270015
1.4239393939393938,-8.484848484848484,0.19727792275315878
1.4239393939393938,-8.333333333333334,0.20633958395187074
1.4239393939393938,-8.181818181818182,0.21579742188255566
1.4239393939393938,-8.030303030303031,0.22566640485949177
1.4239393939393938,-7.878787878787879,0.23596190218551322
1.4239393939393938,-7.7272727272727275,0.24669970031897984
1.4239393939393938,-7.575757575757576,0.25789602544186047
1.4239393939393938,-7.424242424242424,0.2695675743055873
1.4239393939393938,-7.2727272727272725,0.2817315556246968
1.4239393939393938,-7.121212121212121,0.29440574475012365
1.4239393939393938,-6.96969696969697,0.3076085548957916
1.4239393939393938,-6.818181818181818,0.3213591288277912
1.4239393939393938,-6.666666666666667,0.33567745567202256
1.4239393939393938,-6.515151515151516,0.3505845183750125
1.4239393939393938,-6.363636363636363,0.36610247839048154
1.4239393939393938,-6.212121212121212,0.3822549053953598
1.4239393939393938,-6.0606060606060606,0.39906706130714303
1.4239393939393938,-5.909090909090909,0.4165662496365147
1.4239393939393938,-5.757575757575758,0.43478224333868515
1.4239393939393938,-5.606060606060606,0.4537478069197044
1.4239393939393938,-5.454545454545454,0.47349933173476044
1.4239393939393938,-5.303030303030303,0.49407760734626416
1.4239393939393938,-5.151515151515151,0.5155287566998363
1.4239393939393938,-5.0,0.5379053689958938
1.4239393939393938,-4.848484848484849,0.5612678718265778
1.4239393939393938,-4.696969696969697,0.5856861938428343
1.4239393939393938,-4.545454545454546,0.6112417814417477
1.4239393939393938,-4.393939393939394,0.6380300483400351
1.4239393939393938,-4.242424242424242,0.6661633561044042
1.4239393939393938,-4.090909090909091,0.6957746473759227
1.4239393939393938,-3.9393939393939394,0.72702188199092
1.4239393939393938,-3.787878787878788,0.7600934589603342
1.4239393939393938,-3.6363636363636362,0.795214841823604
1.4239393939393938,-3.484848484848485,0.8326566343800096
1.4239393939393938,-3.3333333333333335,0.8727443621654422
1.4239393939393938,-3.1818181818181817,0.9158701672449104
1.4239393939393938,-3.0303030303030303,0.9625064460381137
1.4239393939393938,-2.878787878787879,1.0132209989612915
1.4239393939393938,-2.727272727272727,1.068692202965051
1.4239393939393938,-2.5757575757575757,1.1297204256082873
1.4239393939393938,-2.4242424242424243,1.1972270888767458
1.4239393939393938,-2.272727272727273,1.2722229372412828
1.4239393939393938,-2.121212121212121,1.3557074300302185
1.4239393939393938,-1.9696969696969697,1.4484238180962477
1.4239393939393938,-1.8181818181818181,1.5503298206904732
1.4239393939393938,-1.6666666666666667,1.6595558704486246
1.4239393939393938,-1.5151515151515151,1.7705909152326702
1.4239393939393938,-1.3636363636363635,1.8717749442135811
1.4239393939393938,-1.2121212121212122,1.943567965476526
1.4239393939393938,-1.0606060606060606,1.9615859113716836
1.4239393939393938,-0.9090909090909091,1.908072547230712
1.4239393939393938,-0.7575757575757576,1.7857146925997636
1.4239393939393938,-0.6060606060606061,1.6183587498060215
1.4239393939393938,-0.45454545454545453,1.4363650064005566
1.4239393939393938,-0.30303030303030304,1.2625609223083238
1.4239393939393938,-0.15151515151515152,1.1085295943461757
1.4239393939393938,0.0,0.9775319914224287
2.130909090909091,-15.0,0.03155991793409113
2.130909090909091,-14.848484848484848,0.03299613774420933
2.130909090909091,-14.696969696969697,0.034499758952506676
2.130909090909091,-14.545454545454545,0.036073991128646656
2.130909090909091,-14.393939393939394,0.03772219484035573
2.130909090909091,-14.242424242424242,0.0394478882871876
2.130909090909091,-14.090909090909092,0.041254754161218765
2.130909090909091,-13.93939393939394,0.04314664673383804
2.130909090909091,-13.787878787878787,0.04512759916635384
2.130909090909091,-13.636363636363637,0.04720183104047758
2.130909090909091,-13.484848484848484,0.04937375610282517
2.130909090909091,-13.333333333333334,0.051647990215379004
2.130909090909091,-13.181818181818182,0.054029359501341655
2.130909090909091,-13.030303030303031,0.05652290867295543
2.130909090909091,-12.878787878787879,0.05913390952462162
2.130909090909091,-12.727272727272727,0.06186786957099555
2.130909090909091,-12.575757575757576,0.0647305408056136
2.130909090909091,-12.424242424242424,0.0677279285509899
2.130909090909091,-12.272727272727273,0.07086630036595931
2.130909090909091,-12.121212121212121,0.07415219497029842
2.130909090909091,-11.969696969696969,0.07759243114028311
2.130909090909091,-11.818181818181818,0.0811941165218174
2.130909090909091,-11.666666666666666,0.08496465630003282
2.130909090909091,-11.515151515151516,0.08891176165581609
2.130909090909091,-11.363636363636363,0.09304345793053975
2.130909090909091,-11.212121212121213,0.09736809241034743
2.130909090909091,-11.06060606060606,0.10189434163070615
2.130909090909091,-10.909090909090908,0.10663121809061937
2.130909090909091,-10.757575757575758,0.11158807625396798
2.130909090909091,-10.606060606060606,0.11677461770303259
2.130909090909091,-10.454545454545455,0.12220089529649891
2.130909090909091,-10.303030303030303,0.12787731617139092
2.130909090909091,-10.151515151515152,0.13381464341570373
2.130909090909091,-10.0,0.1400239962264026
2.130909090909091,-9.848484848484848,0.14651684835640652
2.130909090909091,-9.696969696969697,0.15330502464479204
2.130909090909091,-9.545454545454545,0.1604006954174841
2.130909090909091,-9.393939393939394,0.1678163685420696
2.130909090909091,-9.242424242424242,0.17556487892117004
2.130909090909091,-9.090909090909092,0.18365937521534537
2.130909090909091,-8.93939393939394,0.19211330360029527
2.130909090909091,-8.787878787878787,0.2009403883859482
2.130909090909091,-8.636363636363637,0.21015460935888228
2.130909090909091,-8.484848484848484,0.2197701757566301
2.130909090909091,-8.333333333333334,0.22980149684529363
2.130909090909091,-8.181818181818182,0.2402631491531247
2.130909090909091,-8.030303030303031,0.2511698405151066
2.130909090909091,-7.878787878787879,0.26253637120987505
2.130909090909091,-7.7272727272727275,0.2743775926231647
2.130909090909091,-7.575757575757576,0.28670836405369843
2.130909090909091,-7.424242424242424,0.299543508489695
2.130909090909091,-7.2727272727272725,0.31289776842777967
2.130909090909091,-7.121212121212121,0.326785763080242
2.130909090909091,-6.96969696969697,0.3412219486187211
2.130909090909091,-6.818181818181818,0.3562205834269789
2.130909090909091,-6.666666666666667,0.3717957006734159
2.130909090909091,-6.515151515151516,0.38796109085148894
2.130909090909091,-6.363636363636363,0.40473029725296866
2.130909090909091,-6.212121212121212,0.4221166276067728
2.130909090909091,-6.0606060606060606,0.440133185295998
2.130909090909091,-5.909090909090909,0.45879292360501805
2.130909090909091,-5.757575757575758,0.4781087262762367
2.130909090909091,-5.606060606060606,0.4980935171770108
2.130909090909091,-5.454545454545454,0.5187604009632552
2.130909090909091,-5.303030303030303,0.5401228351039125
2.130909090909091,-5.151515151515151,0.5621948312635212
2.130909090909091,-5.0,0.5849911805036931
2.130909090909091,-4.848484848484849,0.6085276916083368
2.130909090909091,-4.696969696969697,0.632821424433629
2.130909090909091,-4.545454545454546,0.6578908896509394
2.130909090909091,-4.393939393939394,0.6837561713504688
2.130909090909091,-4.242424242424242,0.7104389079664488
2.130909090909091,-4.090909090909091,0.7379620374440039
2.130909090909091,-3.9393939393939394,0.7663491711423268
2.130909090909091,-3.787878787878788,0.7956234031212234
2.130909090909091,-3.6363636363636362,0.825805281234168
2.130909090909091,-3.484848484848485,0.8569095564445929
2.130909090909091,-3.3333333333333335,0.88894017865265
2.130909090909091,-3.1818181818181817,0.9218828136116612
2.130909090909091,-3.0303030303030303,0.9556939142345177
2.130909090909091,-2.878787878787879,0.9902851042036241
2.130909090909091,-2.727272727272727,1.02550137104822
2.130909090909091,-2.5757575757575757,1.0610914397574858
2.130909090909091,-2.4242424242424243,1.0966689562801162
2.130909090909091,-2.272727272727273,1.1316642112385462
2.130909090909091,-2.121212121212121,1.1652688110482794
2.130909090909091,-1.9696969696969697,1.1963809067322377
2.130909090909091,-1.8181818181818181,1.223567052260721
2.130909090909091,-1.6666666666666667,1.2450677970037494
2.130909090909091,-1.5151515151515151,1.2588834713846015
2.130909090909091,-1.3636363636363635,1.2629745105877002
2.130909090909091,-1.2121212121212122,1.2555837259452058
2.130909090909091,-1.0606060606060606,1.2356303882035937
2.130909090909091,-0.9090909090909091,1.2030576743552128
2.130909090909091,-0.7575757575757576,1.1589858447898012
2.130909090909091,-0.6060606060606061,1.1055787766226277
2.130909090909091,-0.45454545454545453,1.045656177456353
2.130909090909091,-0.30303030303030304,0.9821964096321711
2.130909090909091,-0.15151515151515152,0.9178994071243841
2.130909090909091,0.0,0.8549154047576892
2.837878787878788,-15.0,0.035385674906948716
2.837878787878788,-14.848484848484848,0.03699096015613282
2.837878787878788,-14.696969696969697,0.038671346275557496
2.837878787878788,-14.545454545454545,0.040430403442780274
2.837878787878788,-14.393939393939394,0.042271870255434454
2.837878787878788,-14.242424242424242,0.044199661233445375
2.837878787878788,-14.090909090909092,0.046217874590089136
2.837878787878788,-13.93939393939394,0.04833080027209865
2.837878787878788,-13.787878787878787,0.050542928267320736
2.837878787878788,-13.636363636363637,0.052858957176409455
2.837878787878788,-13.484848484848484,0.05528380304266592
2.837878787878788,-13.333333333333334,0.05782260843135035
2.837878787878788,-13.181818181818182,0.060480751746539524
2.837878787878788,-13.030303030303031,0.06326385676981497
2.837878787878788,-12.878787878787879,0.06617780240067389
2.837878787878788,-12.727272727272727,0.06922873257347052
2.837878787878788,-12.575757575757576,0.07242306631983032
2.837878787878788,-12.424242424242424,0.07576750793872918
2.837878787878788,-12.272727272727273,0.07926905722867986
2.837878787878788,-12.121212121212121,0.08293501972759883
2.837878787878788,-11.969696969696969,0.0867730168957896
2.837878787878788,-11.818181818181818,0.09079099616594025
2.837878787878788,-11.666666666666666,0.09499724077090599
2.837878787878788,-11.515151515151516,0.09940037924518733
2.837878787878788,-11.363636363636363,0.10400939447920762
2.837878787878788,-11.212121212121213,0.1088336321865597
2.837878787878788,-11.06060606060606,0.11388280862312565
2.837878787878788,-10.909090909090908,0.11916701737316611
2.837878787878788,-10.757575757575758,0.12469673499092895
2.837878787878788,-10.606060606060606,0.13048282525683708
2.837878787878788,-10.454545454545455,0.13653654177472888
2.837878787878788,-10.303030303030303,0.14286952860075328
2.837878787878788,-10.151515151515152,0.14949381855533686
2.837878787878788,-10.0,0.1564218288270234
2.837878787878788,-9.848484848484848,0.1636663534310651
2.837878787878788,-9.696969696969697,0.1712405520365631
2.837878787878788,-9.545454545454545,0.17915793462400464
2.837878787878788,-9.393939393939394,0.18743234138080575
2.837878787878788,-9.242424242424242,0.1960779171866129
2.837878787878788,-9.090909090909092,0.20510907998371167
2.837878787878788,-8.93939393939394,0.21454048227229644
2.837878787878788,-8.787878787878787,0.22438696491727728
2.837878787878788,-8.636363636363637,0.23466350240500827
2.837878787878788,-8.484848484848484,0.24538513864737788
2.837878787878788,-8.333333333333334,0.25656691240041063
2.837878787878788,-8.181818181818182,0.2682237713485013
2.837878787878788,-8.030303030303031,0.28037047390788133
2.837878787878788,-7.878787878787879,0.2930214778284514
2.837878787878788,-7.7272727272727275,0.30619081472651155
2.837878787878788,-7.575757575757576,0.31989194976691143
2.837878787878788,-7.424242424242424,0.3341376258359561
2.837878787878788,-7.2727272727272725,0.3489396917092813
2.837878787878788,-7.121212121212121,0.36430891392304077
2.837878787878788,-6.96969696969697,0.3802547723006232
2.837878787878788,-6.818181818181818,0.39678523936469035
2.837878787878788,-6.666666666666667,0.41390654416384065
2.837878787878788,-6.515151515151516,0.4316229213448711
2.837878787878788,-6.363636363636363,0.4499363465755954
2.837878787878788,-6.212121212121212,0.4688462596270593
2.837878787878788,-6.0606060606060606,0.48834927650022375
2.837878787878788,-5.909090909090909,0.5084388918557456
2.837878787878788,-5.757575757575758,0.5291051725817953
2.837878787878788,-5.606060606060606,0.5503344424985297
2.837878787878788,-5.454545454545454,0.5721089568129966
2.837878787878788,-5.303030303030303,0.594406562850312
2.837878787878788,-5.151515151515151,0.6172003406279164
2.837878787878788,-5.0,0.64045821283734
2.837878787878788,-4.848484848484849,0.6641425085906374
2.837878787878788,-4.696969696969697,0.6882094587494649
2.837878787878788,-4.545454545454546,0.7126085927267964
2.837878787878788,-4.393939393939394,0.7372819974020475
2.837878787878788,-4.242424242424242,0.7621633884921954
2.837878787878788,-4.090909090909091,0.7871769339715953
2.837878787878788,-3.9393939393939394,0.8122357590286249
2.837878787878788,-3.787878787878788,0.8372400544365581
2.837878787878788,-3.6363636363636362,0.8620747080455844
2.837878787878788,-3.484848484848485,0.886606386867716
2.837878787878788,-3.3333333333333335,0.9106800214999944
2.837878787878788,-3.1818181818181817,0.9341146945724392
2.837878787878788,-3.0303030303030303,0.9566990224883487
2.837878787878788,-2.878787878787879,0.9781862591807919
2.837878787878788,-2.727272727272727,0.9982895562151969
2.837878787878788,-2.5757575757575757,1.0166780944366276
2.837878787878788,-2.4242424242424243,1.0329751527013624
2.837878787878788,-2.272727272727273,1.0467595630758029
2.837878787878788,-2.121212121212121,1.0575723336588405
2.837878787878788,-1.9696969696969697,1.0649303480008665
2.837878787878788,-1.8181818181818181,1.0683487573467896
2.837878787878788,-1.6666666666666667,1.067372731272581
2.837878787878788,-1.5151515151515151,1.0616174741628486
2.837878787878788,-1.3636363636363635,1.05081295481456
2.837878787878788,-1.2121212121212122,1.0348471523405225
2.837878787878788,-1.0606060606060606,1.0137997342560658
2.837878787878788,-0.9090909090909091,0.987958038232554
2.837878787878788,-0.7575757575757576,0.9578097025396737
2.837878787878788,-0.6060606060606061,0.9240109843985412
2.837878787878788,-0.45454545454545453,0.8873353216794111
2.837878787878788,-0.30303030303030304,0.848611080722925
2.837878787878788,-0.15151515151515152,0.808659160240169
2.837878787878788,0.0,0.7682398343888758
3.544848484848485,-15.0,0.03962341346995517
3.544848484848485,-14.848484848484848,0.04141623666645672
3.544848484848485,-14.696969696969697,0.04329275748200008
3.544848484848485,-14.545454545454545,0.04525695629380327
3.544848484848485,-14.393939393939394,0.04731300265835029
3.544848484848485,-14.242424242424242,0.049465263965929714
3.544848484848485,-14.090909090909092,0.051718314435206574
3.544848484848485,-13.93939393939394,0.05407694445241081
3.544848484848485,-13.787878787878787,0.05654617025813799
3.544848484848485,-13.636363636363637,0.05913124398280338
3.544848484848485,-13.484848484848484,0.06183766402941849
3.544848484848485,-13.333333333333334,0.06467118579947488
3.544848484848485,-13.181818181818182,0.06763783275427297
3.544848484848485,-13.030303030303031,0.07074390779988715
3.544848484848485,-12.878787878787879,0.07399600497903086
3.544848484848485,-12.727272727272727,0.07740102144722526
3.544848484848485,-12.575757575757576,0.08096616970374497
3.544848484848485,-12.424242424242424,0.08469899003962619
3.544848484848485,-12.272727272727273,0.08860736315539687
3.544848484848485,-12.121212121212121,0.09269952288987247
3.544848484848485,-11.969696969696969,0.09698406898811292
3.544848484848485,-11.818181818181818,0.10146997982114933
3.544848484848485,-11.666666666666666,0.10616662495202553
3.544848484848485,-11.515151515151516,0.11108377742167266
3.544848484848485,-11.363636363636363,0.11623162560372295
3.544848484848485,-11.212121212121213,0.1216207844490712
3.544848484848485,-11.06060606060606,0.1272623059082825
3.544848484848485,-10.909090909090908,0.13316768828220366
3.544848484848485,-10.757575757575758,0.1393488842077296
3.544848484848485,-10.606060606060606,0.14581830693584152
3.544848484848485,-10.454545454545455,0.1525888345020456
3.544848484848485,-10.303030303030303,0.15967381132431746
3.544848484848485,-10.151515151515152,0.16708704668977906
3.544848484848485,-10.0,0.17484280950769338
3.544848484848485,-9.848484848484848,0.1829558186120821
3.544848484848485,-9.696969696969697,0.19144122779156136
3.544848484848485,-9.545454545454545,0.20031460460608821
3.544848484848485,-9.393939393939394,0.2095919019197088
3.544848484848485,-9.242424242424242,0.21928942093482062
3.544848484848485,-9.090909090909092,0.229423764357006
3.544848484848485,-8.93939393939394,0.24001177815087107
3.544848484848485,-8.787878787878787,0.25107048016789657
3.544848484848485,-8.636363636363637,0.2626169737394805
3.544848484848485,-8.484848484848484,0.2746683441357179
