E,prob
0.0,3.067152979714352e-88
0.001,0.0008055757633376352
0.002,0.0016125026662961992
0.003,0.002420781547028158
0.004,0.0032304132343018103
0.005,0.004041398547442495
0.006,0.004853738296273969
0.007,0.005667433281059252
0.008,0.00648248429244173
0.009,0.00729889211138559
0.01,0.008116657509116922
0.011,0.00893578124706365
0.012,0.009756264076796433
0.013,0.010578106739968677
0.014,0.011401309968256414
0.015,0.012225874483299025
0.016,0.013051800996638094
0.017,0.01387909020965737
0.018,0.014707742813523977
0.019,0.015537759489124494
0.02,0.01636914090700806
0.021,0.01720188772732325
0.022,0.01803600059975756
0.023,0.018871480163477113
0.024,0.01970832704706457
0.025,0.020546541868458907
0.026,0.021386125234893527
0.027,0.022227077742834323
0.028,0.02306939997791876
0.029,0.023913092514893954
0.03,0.024758155917554574
0.031,0.025604590738682414
0.032,0.026452397519981314
0.033,0.02730157679201803
0.034,0.028152129074158237
0.035,0.02900405487450532
0.036,0.029857354689836656
0.037,0.030712029005541718
0.038,0.03156807829556053
0.039,0.032425503022318246
0.04,0.033284303636664236
0.041,0.03414448057780988
0.042,0.03500603427326272
0.043,0.03586896513876542
0.044,0.03673327357823274
0.045,0.037598959983686855
0.046,0.03846602473519393
0.047,0.03933446820080319
0.048,0.040204290736479534
0.049,0.04107549268604213
0.05,0.04194807438110124
0.051,0.04282203614099195
0.052,0.043697378272712
0.053,0.04457410107085802
0.054,0.04545220481756032
0.055,0.0463316897824193
0.056,0.047212556222442276
0.057,0.048094804381975206
0.058,0.04897843449264398
0.059,0.049863446773286815
0.06,0.050749841429887574
0.061,0.051637618655517206
0.062,0.05252677863026276
0.063,0.05341732152116791
0.064,0.054309247482163946
0.065,0.05520255665400672
0.066,0.05609724916421256
0.067,0.056993325126993954
0.068,0.057890784643189766
0.069,0.058789627800206495
0.07,0.05968985467195035
0.071,0.060591465318759856
0.072,0.0614944597873445
0.073,0.06239883811071781
0.074,0.0633046003081323
0.075,0.0642117463850124
0.076,0.06512027633289395
0.077,0.06603019012935245
